Member_ID,Name,Age,Gender,Address,Phone_Number,Membership_Type,Join_Date,Last_Visit_Date,Favorite_Exercise,Avg_Workout_Duration_Min,Avg_Calories_Burned,Total_Weight_Lifted_kg,Visits_Per_Month,Churn
GYM100000,Allison Hill,23.0,Female,"42769 Stone Light Apt. 959, New Jacquelinebury, PA 28767",323.697.0770x540,Monthly,2024-01-21,2026-05-28,Swimming,64.0,469.0,9367,10.3,No
GYM100001,Noah Rhodes,39.0,Male,"911 Courtney Streets Suite 975, North Nancy, IN 02167",+1-945-673-5640x8746,Monthly,2025-07-30,2026-03-17,Yoga,72.0,651.0,7137,13.0,Yes
GYM100002,Angie Henderson,35.0,Male,"572 Lawrence Mill, Pattonshire, IN 86699",001-976-322-7203x3428,Monthly,2023-08-26,2026-01-17,Swimming,91.0,644.0,4357,8.8,Yes
GYM100003,Daniel Wagner,37.0,Female,"312 Thomas Flat Suite 578, North Christopher, NM 93955",001-527-908-2456x3534,Monthly,2025-02-21,2026-06-07,Cardio,66.0,232.0,6224,13.2,No
GYM100004,Cristian Santos,32.0,Female,"594 Alex Mall Suite 495, Albertshire, MH 90338",(585)274-8791x81476,Monthly,2025-10-05,2026-04-21,CrossFit,86.0,650.0,21327,17.7,No
GYM100005,Connie Lawrence,32.0,Female,"336 Adams Run, Port Lisa, ND 89114",001-212-601-1069x76783,Yearly,2026-02-04,2026-06-02,Yoga,81.0,429.0,1943,21.4,No
GYM100006,Abigail Shaffer,41.0,Female,"0826 Johnson Union, Lake Kimberlyville, TN 77457",(637)926-6400,Yearly,2023-10-17,2026-06-09,Weightlifting,69.0,521.0,30029,12.5,No
GYM100007,Gina Moore,47.0,Female,"42616 Michael Parks Apt. 811, Montgomeryport, NY 05516",(680)493-6440x2557,Quarterly,2026-05-24,2026-05-25,Weightlifting,70.0,615.0,465,6.5,Yes
GYM100008,Gabrielle Davis,16.0,Female,"380 Joshua Highway Apt. 318, Rebekahborough, GA 14205",+1-848-593-7386x1384,Yearly,2023-10-18,2026-03-23,Yoga,73.0,619.0,15237,8.6,Yes
GYM100009,Ryan Munoz,40.0,Male,"42078 Hill Crescent Apt. 273, Brandonton, TN 97599",268.279.7866,Monthly,2024-06-21,2026-04-13,Cycling,89.0,610.0,21158,20.6,No
GYM100010,Monica Herrera,53.0,Female,"953 Aaron Row Apt. 582, West Davidland, IL 32967",489.851.9043,Yearly,2023-10-03,2026-04-29,Weightlifting,65.0,400.0,37600,8.7,No
GYM100011,Jamie Arnold,45.0,Female,"50107 Palmer Cape Apt. 490, East Madeline, CA 62642",698-601-6396,Yearly,2024-07-03,2026-05-24,CrossFit,53.0,462.0,16911,9.0,No
GYM100012,Lisa Hensley,36.0,Female,"Unit 7052 Box 0286, DPO AP 59223",+1-392-355-1250x403,Yearly,2024-05-11,2026-04-20,HIIT,78.0,576.0,33678,18.9,No
GYM100013,Michele Williams,35.0,Male,"4285 Max Extension Apt. 764, West Brandi, NC 97143",498-342-0064x79254,Quarterly,2024-01-23,2026-04-23,Cardio,71.0,633.0,15344,12.4,No
